matrix_index,mixture_num,max_key_mol,max_key_idx,max_query_mol,max_weight_val,min_key_mol,min_key_idx,min_query_mol,min_weight_val
429,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CCCCCC1CCC(=O)O1,0.4239667,CCOC(=O)CC,8,CCCCCC1CCC(=O)O1,0.08495744
429,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,13,CC(C)CCOC(=O)Cc1ccccc1,0.4706855,CC(C)CC(=O)O,18,CC(C)CCOC(=O)Cc1ccccc1,0.08812001
429,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,13,CCCCCOC(=O)CCCC,0.6808172,CC(C)CC(=O)O,18,CCCCCOC(=O)CCCC,0.16557148
429,0,CC1=CCC2CC1C2(C)C,15,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0.5077947,C=CCCCCCCCCC(=O)O,17,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,0.034108125
429,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,13,Cc1cc(O)c(C(C)C)cc1Cl,0.43795484,CCOC(=O)CC,8,Cc1cc(O)c(C(C)C)cc1Cl,0.027034761
429,0,CC1=CCC2CC1C2(C)C,15,Cc1nccnc1C,0.38922253,C=CCCCCCCCCC(=O)O,17,Cc1nccnc1C,0.074792445
429,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,13,CCOC(=O)CC,0.59083056,CC(C)CC(=O)O,18,CCOC(=O)CC,0.08610799
429,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,C=CCc1ccc(O)c(OC)c1,0.32860833,CCOC(=O)CC,8,C=CCc1ccc(O)c(OC)c1,0.038175777
429,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CCCCCCC=O,0.6245948,CCCCCC1CCC(=O)O1,2,CCCCCCC=O,0.09350952
429,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CCCCCCO,0.5900013,CC(C)CC(=O)O,18,CCCCCCO,0.120690726
429,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CC(CC=O)CCCC(C)(C)O,0.44755703,C=CCCCCCCCCC(=O)O,17,CC(CC=O)CCCC(C)(C)O,0.016953373
429,0,CC(=O)c1ccccn1,1,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.23346967,C=CCCCCCCCCC(=O)O,17,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.03788366
