smiles,strong_interaction,attn_value
CCC=O,0,0.10209091642222222
CCCCC=O,0,0.13210260375
CCCCCCCC1CCC(=O)O1,0,0.08113019634146343
CCCCCC=O,0,0.11697071299999999
CCCCCCO,0,0.1972050715625
CCCCCCCC(=O)OC,0,0.11807099596527776
CC/C=C\CCOC(=O)C(C)O,0,0.042442107500000006
CCCCCOC(C)=O,0,0.14877048542857144
CC(=O)C=C(C)C,0,0.16948683199999998
CCCCCCC=O,0,0.17399870833333334
CC(=O)C(=O)O,0,0.07278282558730158
CCCCCCCCCC(=O)O,0,0.06334297179078015
CCCCCOC(=O)CCCC,0,0.15612526435000001
CN(C)C,0,0.171948458
CCCCC(=O)O,0,0.07081320662721893
CCCC(=O)CC,0,0.15335720747368423
CCC/C=C/C=O,0,0.19313173818181817
CCCCCCCCCC(=O)OCC,0,0.11534920919480521
C=CCCCCCCCCC(=O)O,0,0.03956366008888888
CCOC(C)OCC,0,0.14293489333333334
CCCCCC(C)O,0,0.165195202
C=CCCC(=O)O,0,0.05377753193842887
COc1ccc(C)cc1,0,0.2157396
CC(=O)O,0,0.07424035864242425
CCCCCC1CCC(=O)O1,0,0.08213906448076926
CCCCOC(C)=O,0,0.15621382912765958
CC(C)C(=O)O,0,0.07177067038403989
CCOC(=O)CCC(=O)OCC,0,0.07501753169387754
O=C(O)/C=C/C(=O)O,0,0.08235315
CC(=O)C(C)O,0,0.08459689824920127
CC(=O)OCCC(C)C,0,0.20720147249999998
CCOC(=O)CCSCc1ccco1,0,0.13971648833333333
CCCC(=O)O,0,0.09000077652380951
CCC(C)C=O,0,0.1663463325
CCC/C=C/CO,0,0.17493617131578948
CCCC(C)=O,0,0.15037343444444443
COc1cc(C=O)ccc1O,0,0.09436604800000001
CCC1OC(=O)C(O)=C1C,0,0.106798242
COc1ccccc1,0,0.13796154333333333
CC(C)O,0,0.11797565372972973
CCCCCCCCCOC(C)=O,0,0.14330592020000002
CCCC(=O)OC(C)(C)Cc1ccccc1,0,0.22554463
CCCC=O,0,0.10374964348765431
CC=O,0,0.06915339045208846
C=CC(O)CC,0,0.14043589
C=CCOC(=O)CCCCC,0,0.1241829272063492
C=CC(CCCCC)OC(C)=O,0,0.08763905
CCCCC/C=C/C=C/C=O,0,0.081860796
CCCCCCOC(=O)CCCCC,0,0.17479410276190477
CCCCCCCO,0,0.19686203000000002
CCCC(=O)OC,0,0.10987025491304346
CCCCCCCC(=O)OCC,0,0.1566854767363636
CCCCCOC(=O)CCC,0,0.16435474736842104
CCCC(=O)OCC,0,0.12751531334615387
CCCC(O)CC(=O)OCC,0,0.08320000642857142
CCC(OC)OC,0,0.0730494055
CCc1cnccn1,0,0.15903409000000002
CCCO,0,0.1208403288
CCCCCO,0,0.193750475
CCC(C)=O,0,0.16806158
CCCCCC(=O)OCC,0,0.102671864497006
CCCCCC(=O)O,0,0.07227913220799999
C/C=C/C=C/C(=O)OCC,0,0.119965926
CCCCCC(C)=O,0,0.14545882550561795
CCCCC(=O)OCC,0,0.10116345553763441
CC(C)CC=O,0,0.096975527605
COC(C)=O,0,0.055614516
CCCCCCCCC(C)=O,0,0.17463671666666666
CCCCNCCCC,0,0.18534651666666668
CC(CC=O)CCCC(C)(C)O,0,0.04894701
CCOC(=O)C(C)O,0,0.06272678910026386
